Vazão – Efeito hall,Volume – Hall,Volume – Reed,Secundos,,
20.83,85.04,57,240,,
21,85.39,58,241,,
20.83,85.73,58,242,,
20.67,86.08,58,243,,
20.83,86.42,59,244,,
20.83,86.77,59,245,,
20.83,87.12,59,246,,
20.83,87.47,60,247,,
20.83,87.81,60,248,,
20.83,88.16,60,249,,
20.83,88.51,60,250,,
20.83,88.86,61,251,,
20.83,89.2,61,252,,
20.83,89.55,61,253,,
20.83,89.9,62,254,,
20.83,90.24,62,255,,
20.83,90.59,62,256,,
20.83,90.94,63,257,,
20.83,91.29,63,258,,
20.67,91.63,63,259,,
20.83,91.98,63,260,,
20.83,92.32,64,261,,
20.83,92.67,64,262,,
20.83,93.02,64,263,,
20.83,93.37,65,264,,
20.83,93.71,65,265,,
20.67,94.06,65,266,,
20.83,94.41,66,267,,
20.83,94.75,66,268,,
20.83,95.1,66,269,,
20.83,95.45,66,270,,
20.67,95.79,66,271,,
20.83,96.14,66,272,,
20.67,96.48,66,273,,
20.83,96.83,67,274,,
20.83,97.18,67,275,,
20.83,97.52,67,276,,
20.83,97.87,68,277,,
20.83,98.22,68,278,,
20.67,98.56,68,279,,
20.83,98.91,68,280,,
20.83,99.26,68,281,,
20.83,99.61,68,282,,
20.83,99.95,68,283,,
20.83,100.3,69,284,,
20.67,100.64,69,285,,
20.83,100.99,69,286,,
20.83,101.34,70,287,,
20.83,101.69,70,288,,
20.67,102.03,70,289,,
20.83,102.38,70,290,,
20.83,102.72,71,291,,
20.83,103.07,71,292,,
20.83,103.42,71,293,,
20.67,103.76,72,294,,
20.83,104.11,72,295,,
20.83,104.46,72,296,,
20.83,104.81,73,297,,
20.83,105.15,73,298,,
20.67,105.5,73,299,,
20.83,105.84,73,300,,
20.67,106.19,74,301,,
20.83,106.54,74,302,,
20.67,106.88,74,303,,
20.83,107.23,75,304,,
20.83,107.57,75,305,,
20.83,107.92,75,306,,
20.83,108.27,76,307,,
20.67,108.61,76,308,,
20.83,108.96,76,309,,
20.83,109.31,76,310,,
20.67,109.65,77,311,,
20.83,110,77,312,,
20.83,110.35,77,313,,
20.67,110.69,78,314,,
20.83,111.04,78,315,,
20.83,111.39,78,316,,
20.67,111.73,79,317,,
20.67,112.07,79,318,,
20.83,112.42,79,319,,
20.83,112.77,79,320,,
20.67,113.11,80,321,,
20.83,113.46,80,322,,
20.67,113.81,80,323,,
20.67,114.15,81,324,,
20.83,114.5,81,325,,
20.67,114.84,81,326,,
20.67,115.19,82,327,,
20.83,115.53,82,328,,
20.83,115.88,82,329,,
20.67,116.22,82,330,,
20.67,116.57,83,331,,
20.83,116.92,83,332,,
20.83,117.26,83,333,,
20.67,117.61,84,334,,
20.67,117.95,84,335,,
20.83,118.3,84,336,,
20.67,118.64,85,337,,
20.67,118.99,85,338,,
20.67,119.33,85,339,,
20.83,119.68,85,340,,
20.67,120.02,86,341,,
20.67,120.37,86,342,,
20.83,120.72,86,343,,
20.67,121.06,87,344,,
20.67,121.41,87,345,,
20.83,121.75,87,346,15.7894736842,20.7157894737
20.67,122.1,88,347,,
20.83,122.44,88,348,,
20.67,122.79,88,349,,
